Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
24-APR-2020,39.23,39.9475,34.9825,39.1175,39.23,-0.11,-0.29
27-APR-2020,39.1175,40.1675,35.2125,38.0425,39.1175,-1.08,-2.75
28-APR-2020,38.0425,41.9125,35.0675,35.355,38.0425,-2.69,-7.06
29-APR-2020,35.355,35.355,31.4825,33.8375,35.355,-1.52,-4.29
30-APR-2020,33.8375,34.2525,32.535,33.9875,33.8375,0.15,0.44
04-MAY-2020,33.9875,43.92,33.9875,43.67,33.9875,9.68,28.49
05-MAY-2020,43.67,43.865,38.1475,43.6075,43.67,-0.06,-0.14
06-MAY-2020,43.6075,43.63,40.1975,41.2475,43.6075,-2.36,-5.41
07-MAY-2020,41.2475,41.715,39.6575,39.93,41.2475,-1.32,-3.19
08-MAY-2020,39.93,39.93,36.5475,38.4075,39.93,-1.52,-3.81
11-MAY-2020,38.4075,38.495,36.9475,38.0375,38.4075,-0.37,-0.96
12-MAY-2020,38.0375,38.8125,35.245,38.205,38.0375,0.17,0.44
13-MAY-2020,38.205,39.0475,33.44,38.835,38.205,0.63,1.65
14-MAY-2020,38.835,38.835,35.795,38.1825,38.835,-0.65,-1.68
15-MAY-2020,38.1825,38.46,34.055,38.0175,38.1825,-0.17,-0.43
18-MAY-2020,38.0175,41.245,27.935,40.915,38.0175,2.90,7.62
19-MAY-2020,40.915,40.915,37.9525,39.4525,40.915,-1.46,-3.57
20-MAY-2020,39.4525,39.4525,34.095,35.81,39.4525,-3.64,-9.23
21-MAY-2020,35.81,35.81,32.575,32.985,35.81,-2.83,-7.89
22-MAY-2020,32.985,34.36,26.335,32.3775,32.985,-0.61,-1.84
26-MAY-2020,32.3775,33.21,30.9725,31.47,32.3775,-0.91,-2.80
27-MAY-2020,31.47,32.015,28.855,31.2725,31.47,-0.20,-0.63
28-MAY-2020,31.2725,31.2725,29.195,30.0175,31.2725,-1.26,-4.01
29-MAY-2020,30.0175,30.5675,27.41,30.22,30.0175,0.20,0.67
01-JUN-2020,30.22,32.1725,28.8325,30.7425,30.22,0.52,1.73
02-JUN-2020,30.7425,30.9175,27.9025,30.115,30.7425,-0.63,-2.04
03-JUN-2020,30.115,30.4025,29.335,30.0425,30.115,-0.07,-0.24
04-JUN-2020,30.0425,30.265,28.45,29.69,30.0425,-0.35,-1.17
05-JUN-2020,29.69,29.69,25.92,28.68,29.69,-1.01,-3.40
