Date,mkt_return,india_vix,momentum_sharpe,regime_int,regime_name
2019-10-22,-0.0065804840399191,0.1681,0.24240105280575353,1,Bull
2019-10-23,0.0011002643679286,0.16535,0.11445810486538306,1,Bull
2019-10-24,-0.002112448524424,0.1624,-0.04090046478821984,1,Bull
2019-10-25,-0.0001456380380452,0.15315,-0.033885475211991804,0,Sideways
2019-11-26,-0.00324820306243,0.148375,0.274462261027291,0,Sideways
2019-11-27,0.0049619738448297,0.146175,0.2139678942956375,0,Sideways
2019-11-28,0.0039025928428553,0.139875,0.2080192223656657,0,Sideways
2019-11-29,-0.0081151917406064,0.13897500000000002,0.0921219575751091,0,Sideways
2019-12-02,-0.0009092415394128,0.142025,0.0754234586218887,0,Sideways
2019-12-03,-0.0047500080088507,0.145625,-0.006892429919303181,0,Sideways
2019-12-04,0.0038190491124793,0.133225,0.04965221720832355,0,Sideways
2019-12-05,-0.002319296755402,0.14305,-0.007403989547533771,0,Sideways
2019-12-06,-0.0083532851299347,0.1364,-0.11377097725140663,0,Sideways
2019-12-09,0.0010832766525874,0.145975,-0.02569960128139956,0,Sideways
2019-12-10,-0.0070411161268319,0.1429,-0.09075278621800974,0,Sideways
2019-12-11,0.0042315478481031,0.133775,0.0066044299690635605,0,Sideways
2019-12-12,0.0049049208380932,0.133475,0.02930850048729481,0,Sideways
2019-12-13,0.0092938862760246,0.133,0.09254331266267662,0,Sideways
2019-12-16,-0.0029712039271398,0.13415,0.07662795166871925,0,Sideways
2019-12-17,0.0089126164727691,0.125175,0.11043747371276576,0,Sideways
2019-12-18,0.004388088396674,0.123375,0.10828844310498664,0,Sideways
2019-12-19,0.0028505386713492,0.121225,0.15572459981643277,0,Sideways
2019-12-20,0.0007285184871654,0.12325,0.2062545210238656,0,Sideways
2019-12-23,-0.0009956557789216,0.119575,0.09912249953457587,0,Sideways
2019-12-24,-0.0041963004613706,0.11625,0.08937908071840078,0,Sideways
2019-12-26,-0.0074885369993006,0.111225,-0.027766289528450963,0,Sideways
2019-12-27,0.0095278210029475,0.10525000000000001,0.02241374220717372,0,Sideways
2019-12-30,0.0005624005298891,0.110075,0.1031519886101774,0,Sideways
2019-12-31,-0.0074147260829315,0.116675,0.04153350298922418,0,Sideways
2020-01-01,0.0008960066551723,0.115975,0.0926121361741522,0,Sideways
2020-01-02,0.0078926434260767,0.1149,0.12448412290838484,0,Sideways
2020-01-03,-0.004790984650272,0.12695,0.10162033664600693,0,Sideways
2020-01-06,-0.019548664981078,0.147775,0.005731952268916227,0,Sideways
2020-01-07,0.0047242238953337,0.1461,0.03071296375802995,0,Sideways
2020-01-08,-0.002550506851371,0.1564,0.0630587394355292,0,Sideways
2020-01-09,0.015463588252168,0.13997500000000002,0.12901513631993022,0,Sideways
2020-01-10,0.0030845187024375,0.140775,0.11794269977524806,0,Sideways
2020-01-13,0.0056599987265606,0.14275000000000002,0.0966584540088108,0,Sideways
2020-01-14,0.0023947622345822,0.139125,0.13260887551586334,0,Sideways
2020-01-15,-0.0017960496520212,0.1412,0.06374992488515713,0,Sideways
2020-01-16,0.0007299816420335,0.14182499999999998,0.039223743837884614,0,Sideways
2020-01-17,-0.0005129478255444,0.14127499999999998,0.016266096764390097,0,Sideways
2020-01-20,-0.0106580243671885,0.15410000000000001,-0.05877778874006944,0,Sideways
2020-01-21,-0.0047425959629456,0.15862500000000002,-0.08256299113515485,0,Sideways
2020-01-22,-0.0054439156716729,0.1636,-0.09022282303130091,0,Sideways
2020-01-23,0.0057904586513707,0.15855,-0.004740213011796081,0,Sideways
2020-01-24,0.0053011677039113,0.15560000000000002,-0.033055884726543694,0,Sideways
2020-01-27,-0.0108665371644114,0.17175,-0.10421902478954877,0,Sideways
2020-01-28,-0.00548654975857,0.172975,-0.09282617198260762,0,Sideways
2020-01-29,0.0058367097473168,0.16497499999999998,-0.060094889019009355,0,Sideways
2020-01-30,-0.008012912913016,0.16797499999999999,-0.1622835243893658,0,Sideways
2020-01-31,-0.0064001763555722,0.173675,-0.17154361147840827,0,Sideways
2020-02-03,-0.0217373612572362,0.157825,-0.17914831880879684,0,Sideways
2020-02-04,0.0226876120120826,0.1438,-0.05795556234801107,0,Sideways
2020-02-05,0.0088410424121885,0.141725,0.0006690409870059786,0,Sideways
2020-02-06,0.0037705992644278,0.1378,-0.06223299025737981,0,Sideways
2020-02-07,-0.0035258133288956,0.137475,-0.09802571723692675,0,Sideways
2020-02-10,-0.0057987733954892,0.1421,-0.161121378889473,0,Sideways
2020-02-11,0.0060720173841593,0.1388,-0.13934256553542942,0,Sideways
2020-02-12,0.0074182226725188,0.136225,-0.08798108886583193,0,Sideways
2020-02-13,-0.0024363068661557,0.13369999999999999,-0.1046365887120863,0,Sideways
2020-02-14,-0.0052974680777598,0.13615,-0.12914693897488613,0,Sideways
2020-02-17,-0.0058583228976072,0.14415,-0.10615753742368914,0,Sideways
2020-02-18,-0.0046925173616444,0.1451,-0.10590208889909555,0,Sideways
2020-02-19,0.0108043021850824,0.14022500000000002,-0.018584603423596337,0,Sideways
2020-02-20,-0.0039801076596367,0.13699999999999998,-0.06966810882383498,0,Sideways
2020-02-24,-0.0212914672299868,0.169975,-0.18995391715554957,0,Sideways
2020-02-25,-0.0029243450795028,0.16897500000000001,-0.15521299194539873,0,Sideways
2020-02-26,-0.0104299746543259,0.1826,-0.17650986879639438,0,Sideways
2020-02-27,-0.0041358225857653,0.17765,-0.22737503063641015,0,Sideways
2020-02-28,-0.0380595788302129,0.23235,-0.2955718260159522,1,Bull
2020-03-02,-0.0064367378709382,0.252025,-0.2957035969575297,1,Bull
2020-03-03,0.0149455499630184,0.245425,-0.15567158205672818,1,Bull
2020-03-04,-0.0048956241222439,0.24225000000000002,-0.29323220975617403,1,Bull
2020-03-05,0.0013406428733408,0.232475,-0.3342655994671746,1,Bull
2020-03-06,-0.0253777900381144,0.25642499999999996,-0.43180677630076697,1,Bull
2020-03-09,-0.0504529324944121,0.308,-0.4806955446160268,2,Bear
2020-03-11,0.0004068406543768,0.31555,-0.4581660926018116,2,Bear
2020-03-12,-0.0869268863258759,0.411625,-0.5065171080933949,2,Bear
2020-03-13,0.0371005400344552,0.514725,-0.40668847140817677,2,Bear
2020-03-16,-0.0794321059590402,0.58875,-0.47883273376165697,2,Bear
2020-03-17,-0.0256220882230325,0.62925,-0.512495368700685,2,Bear
2020-03-18,-0.0574258636230697,0.63955,-0.5731669581685455,2,Bear
2020-03-19,-0.0248045360556878,0.721975,-0.6078184422333835,2,Bear
2020-03-20,0.0564334514365004,0.6709999999999999,-0.476874585018832,2,Bear
2020-03-23,-0.1392955011184485,0.71985,-0.5294634134998786,2,Bear
2020-03-24,0.0245043556305281,0.836075,-0.4640835748873859,2,Bear
2020-03-25,0.063887509523244,0.77625,-0.36101523444825984,2,Bear
2020-03-26,0.0379087178882273,0.715325,-0.3023150209774425,2,Bear
2020-03-27,0.0019152385990274,0.7038500000000001,-0.2958280063404002,2,Bear
2020-03-30,-0.0450257643816387,0.7189,-0.30156168480063766,2,Bear
2020-03-31,0.0372668419697618,0.644075,-0.25211938996393984,2,Bear
2020-04-01,-0.0410848009324269,0.600525,-0.30621882125680994,2,Bear
2020-04-03,-0.0210695783586364,0.553025,-0.32205916194838347,2,Bear
2020-04-07,0.0837450156548857,0.518,-0.223446477202877,2,Bear
2020-04-08,-0.0052120904958898,0.522425,-0.20587395881514992,2,Bear
2020-04-09,0.0404125248858047,0.49744999999999995,-0.12484000057487116,2,Bear
2020-04-13,-0.0132982639314981,0.514575,-0.13689275827432218,2,Bear
2020-04-15,-0.007908984836585,0.49735,-0.0714778054697813,2,Bear
2020-04-16,0.0072763802756059,0.46094999999999997,-0.10062994121895573,2,Bear
2020-04-17,0.0297505528391794,0.425925,0.00232444533805808,2,Bear
2020-04-20,-0.0007868907562412,0.43455,0.027050150143873988,2,Bear
2020-04-21,-0.0310003460947973,0.45197499999999996,0.05475361933349429,2,Bear
2020-04-22,0.0224027768689907,0.42822499999999997,0.10350903850726498,2,Bear
2020-04-23,0.0134279390733907,0.3923,0.061192756426498456,2,Bear
2020-04-24,-0.0175312057327229,0.391175,0.2647121047910455,2,Bear
2020-04-27,0.0136167226758081,0.38042499999999996,0.24995532555136743,2,Bear
2020-04-28,0.0103084724993055,0.35355,0.18485299203042482,2,Bear
2020-04-29,0.017958152042333,0.338375,0.15671310603811048,2,Bear
2020-04-30,0.0313262922515277,0.339875,0.20141805882541428,2,Bear
2020-05-04,-0.059418771634491,0.43670000000000003,0.170474633936785,2,Bear
2020-05-05,-0.0097612154805063,0.436075,0.09996887127013969,2,Bear
2020-05-06,0.0068106157766203,0.41247500000000004,0.18618700511713357,2,Bear
2020-05-07,-0.0080382442643475,0.3993,0.2113934604928415,2,Bear
2020-05-08,0.0054275674098507,0.384075,0.09950690338342434,2,Bear
2020-05-11,-0.0015883140892832,0.380375,0.10761115851015175,2,Bear
2020-05-12,-0.0048848669788959,0.38205,0.009655590616537037,2,Bear
2020-05-13,0.0198718064275369,0.38835000000000003,0.08723188558987124,2,Bear
2020-05-14,-0.026254856445044,0.38182499999999997,0.04264187576335492,2,Bear
2020-05-15,-0.0009035076315945,0.380175,0.024250776833041814,2,Bear
2020-05-18,-0.0351832979979983,0.40915,-0.12109938078241356,2,Bear
2020-05-19,0.0060519371426604,0.394525,-0.10542853620260063,2,Bear
2020-05-20,0.02063370233139,0.35810000000000003,0.009726356222415846,2,Bear
2020-05-21,0.0041112590915444,0.32985,-0.03281891370184973,2,Bear
2020-05-22,-0.0076427211087521,0.323775,-0.08297841710806425,2,Bear
2020-05-26,-0.0013870074782394,0.3147,-0.045509019113013825,2,Bear
2020-05-27,0.0309155854220606,0.31272500000000003,-0.003780272743340222,2,Bear
2020-05-28,0.0183705149846067,0.30017499999999997,0.014535901242174638,2,Bear
2020-05-29,0.0092018410249165,0.30219999999999997,-0.005375402746360095,2,Bear
2020-06-01,0.0250804161517841,0.307425,-0.02011387327438287,2,Bear
2020-06-02,0.0151876912385355,0.30115,0.2006094410085542,2,Bear
2020-06-03,0.007970405678342,0.300425,0.25866005661449876,2,Bear
2020-06-04,-0.0034883172550022,0.2969,0.2257951704726423,2,Bear
2020-06-05,0.010951281061722,0.2868,0.28710379701461497,2,Bear
2020-06-08,0.0022334780983802,0.296475,0.2770557231135414,2,Bear
2020-06-09,-0.0122101123900043,0.30205,0.2384465612563567,2,Bear
2020-06-10,0.0066359743141352,0.294375,0.27544807473191896,2,Bear
2020-06-11,-0.0216543748757429,0.2966,0.14354073221735755,2,Bear
2020-06-12,0.0068767600178404,0.308225,0.2629399293325772,2,Bear
2020-06-15,-0.0163500014459415,0.325775,0.2049293144843292,2,Bear
2020-06-16,0.0099105745634422,0.32965000000000005,0.41441906521434985,2,Bear
2020-06-17,-0.0035768948266448,0.33354999999999996,0.3743260123195727,2,Bear
2020-06-18,0.0208215101621518,0.31455,0.37470356530161597,2,Bear
2020-06-19,0.0147649284950129,0.29964999999999997,0.40884196839260184,2,Bear
2020-06-22,0.0062415125895662,0.3046,0.47154238431176654,2,Bear
2020-06-23,0.0151208927471741,0.2934,0.5327464572367394,2,Bear
2020-06-24,-0.0162091607657003,0.295775,0.3641804912698422,2,Bear
2020-06-25,-0.0018505613608886,0.297275,0.2946512025476109,2,Bear
2020-06-26,0.0088462346187711,0.28735,0.29344126891469535,2,Bear
2020-06-29,-0.0070806973060124,0.2891,0.17963738413463276,2,Bear
2020-06-30,-0.0012573089988842,0.291175,0.11481665062032823,2,Bear
2020-07-01,0.0120853875988739,0.281175,0.13072735906779367,2,Bear
2020-07-02,0.011338022244601,0.265075,0.19147912046601598,2,Bear
2020-07-03,0.0050021808308847,0.257675,0.16870646125119157,2,Bear
2020-07-06,0.0143696960953525,0.251975,0.21442218525370468,2,Bear
2020-07-07,0.0030810730261002,0.251025,0.2899967294037323,2,Bear
2020-07-08,-0.0089907185689261,0.261,0.21702295943052755,2,Bear
